Rank,Name,G,PA,HR,AVG,wRC+,WAR,WAR_162,WAR_600
310,Harrison Bader,342,1036,30,0.232,93,6.2,2.94,3.59
311,Jake Marisnick,701,1884,56,0.229,81,6.2,1.43,1.97
312,Lance Berkman,372,1459,53,0.269,129,6.2,2.7,2.55
313,Gleyber Torres,304,1227,65,0.272,122,6.1,3.25,2.98
314,Austin Barnes,345,913,18,0.232,95,6.1,2.86,4.01
315,Cody Ross,590,2153,60,0.26,100,6,1.65,1.67
316,Jorge Soler,509,1974,94,0.253,115,6,1.91,1.82
317,Adam Frazier,504,1778,33,0.272,98,6,1.93,2.02
318,Brock Holt,670,2378,23,0.27,92,6,1.45,1.51
319,Paul Konerko,649,2612,113,0.283,124,5.9,1.47,1.36
320,Adam Duvall,593,2147,113,0.234,97,5.8,1.58,1.62
321,Steven Souza Jr.,482,1840,71,0.232,103,5.8,1.95,1.89
322,Luke Voit,277,1003,61,0.274,139,5.8,3.39,3.47
323,Aledmys Diaz,403,1507,53,0.273,108,5.7,2.29,2.27
324,Austin Hedges,410,1349,49,0.198,61,5.7,2.25,2.54
325,Brandon Lowe,176,681,36,0.262,131,5.6,5.15,4.93
326,Carlos Quentin,467,1825,83,0.249,126,5.5,1.91,1.81
327,David Murphy,808,2761,69,0.272,102,5.5,1.1,1.2
328,Justin Smoak,1286,4750,196,0.229,103,5.5,0.69,0.69
329,Brandon Guyer,518,1487,32,0.25,104,5.4,1.69,2.18
330,Willy Adames,287,1096,37,0.261,105,5.4,3.05,2.96
331,Robinson Chirinos,598,2115,85,0.23,101,5.4,1.46,1.53
332,Yonder Alonso,1072,3773,100,0.259,102,5.4,0.82,0.86
333,Billy Butler,1039,4176,107,0.289,117,5.4,0.84,0.78
334,Nick Punto,427,1204,7,0.239,83,5.3,2.01,2.64
335,Darwin Barney,814,2759,31,0.246,71,5.3,1.05,1.15
336,Adam Lind,998,3650,143,0.267,109,5.3,0.86,0.87
337,Joey Wendle,296,1093,15,0.276,100,5.3,2.9,2.91
338,Jamey Carroll,490,1710,1,0.271,89,5.3,1.75,1.86
339,Nick Ahmed,665,2406,60,0.238,76,5.3,1.29,1.32
340,Danny Valencia,865,3222,96,0.268,101,5.3,0.99,0.99
341,Yangervis Solarte,670,2645,75,0.258,98,5.2,1.26,1.18
342,Gaby Sanchez,674,2240,59,0.254,104,5.2,1.25,1.39
343,Dansby Swanson,499,2012,47,0.248,84,5.2,1.69,1.55
344,Trey Mancini,462,1916,86,0.276,115,5.2,1.82,1.63
345,Logan Morrison,997,3779,140,0.238,105,5.2,0.84,0.83
346,Emilio Bonifacio,647,2175,12,0.259,81,5.2,1.3,1.43
347,Jarrod Saltalamacchia,657,2322,87,0.225,94,5.2,1.28,1.34
348,Jurickson Profar,542,2016,59,0.237,90,5.2,1.55,1.55
349,Daric Barton,339,1286,14,0.246,103,5.1,2.44,2.38
350,Chris Iannetta,912,3169,101,0.226,98,5.1,0.91,0.97
351,Welington Castillo,726,2701,98,0.254,98,5.1,1.14,1.13
352,Justin Ruggiano,431,1383,51,0.26,112,5.1,1.92,2.21
353,Rafael Furcal,314,1365,21,0.264,96,5.1,2.63,2.24
354,Tommy La Stella,524,1470,31,0.274,106,5.1,1.58,2.08
355,Madison Bumgarner,308,677,19,0.177,46,5.1,2.68,4.52
356,Adam LaRoche,767,3099,119,0.245,106,5.1,1.08,0.99
357,Ike Davis,667,2392,81,0.239,108,5,1.21,1.25
358,Trevor Plouffe,830,3234,106,0.242,94,5,0.98,0.93
359,Delino DeShields,570,2041,18,0.246,76,5,1.42,1.47
360,Jung Ho Kang,297,1028,46,0.254,116,4.9,2.67,2.86
361,C.J. Cron,686,2586,118,0.257,110,4.9,1.16,1.14
362,Manuel Margot,472,1678,34,0.249,85,4.8,1.65,1.72
363,Yolmer Sanchez,654,2456,31,0.245,79,4.8,1.19,1.17
364,Devon Travis,316,1245,35,0.274,102,4.8,2.46,2.31
365,Matt Adams,834,2574,118,0.259,106,4.8,0.93,1.12
366,Shohei Ohtani,262,953,46,0.271,127,4.7,2.91,2.96
367,Adeiny Hechavarria,917,3271,37,0.253,74,4.7,0.83,0.86
368,Aubrey Huff,359,1342,39,0.264,115,4.7,2.12,2.1
369,Jonny Gomes,690,2225,76,0.242,104,4.7,1.1,1.27
370,Kendrys Morales,1084,4328,167,0.261,109,4.6,0.69,0.64
371,Jorge Alfaro,300,1062,36,0.264,95,4.6,2.48,2.6
372,Omar Narvaez,390,1334,36,0.267,108,4.6,1.91,2.07
373,Robbie Grossman,720,2729,47,0.252,103,4.6,1.04,1.01
374,Amed Rosario,398,1547,31,0.269,89,4.6,1.87,1.78
375,Manny Pina,334,1018,29,0.255,90,4.6,2.23,2.71
376,Mike Yastrzemski,156,621,30,0.276,132,4.6,4.78,4.44
377,Pete Alonso,212,908,65,0.246,131,4.5,3.44,2.97
378,A.J. Pierzynski,822,3109,77,0.272,90,4.5,0.89,0.87
379,Jeimer Candelario,330,1355,37,0.236,96,4.5,2.21,1.99
380,Chris Heisey,697,1758,62,0.238,91,4.5,1.05,1.54
381,Greg Garcia,574,1292,14,0.247,95,4.5,1.27,2.09
382,Ruben Tejada,663,2396,10,0.25,81,4.5,1.1,1.13
383,Maikel Franco,710,2759,109,0.251,91,4.5,1.03,0.98
384,Adalberto Mondesi,302,1151,30,0.242,74,4.4,2.36,2.29
385,Brendan Ryan,620,2040,12,0.214,59,4.4,1.15,1.29
386,Allen Craig,534,2013,59,0.276,113,4.4,1.33,1.31
387,Mark Reynolds,1270,4554,209,0.228,100,4.4,0.56,0.58
388,Mallex Smith,442,1654,13,0.255,90,4.4,1.61,1.6
389,Eric Sogard,730,2295,25,0.245,81,4.4,0.98,1.15
390,Tim Beckham,473,1751,63,0.249,96,4.3,1.47,1.47
391,Michael Young,619,2623,48,0.295,103,4.3,1.13,0.98
392,Nyjer Morgan,392,1380,8,0.269,88,4.3,1.78,1.87
393,Eric Thames,603,2107,96,0.242,108,4.3,1.16,1.22
394,Justin Bour,559,1950,92,0.253,114,4.3,1.25,1.32
395,Domingo Santana,516,1919,77,0.255,110,4.3,1.35,1.34
396,Jose Martinez,430,1382,43,0.29,118,4.3,1.62,1.87
397,Ryan Roberts,390,1310,38,0.238,89,4.2,1.74,1.92
398,John Jaso,803,2581,55,0.258,115,4.2,0.85,0.98
399,Jim Thome,259,850,48,0.265,145,4.2,2.63,2.96
400,Eduardo Nunez,858,3008,58,0.276,90,4.2,0.79,0.84
401,Orlando Hudson,331,1296,16,0.246,87,4.2,2.06,1.94
402,Curt Casali,325,941,37,0.23,96,4.1,2.04,2.61
403,Ramon Santiago,461,1368,13,0.242,77,4.1,1.44,1.8
404,Donovan Solano,498,1579,16,0.277,90,4.1,1.33,1.56
405,Austin Meadows,233,934,43,0.276,126,4,2.78,2.57
406,Stephen Vogt,645,2165,68,0.249,97,4,1,1.11
407,Caleb Joseph,425,1367,32,0.222,66,4,1.52,1.76
408,Mitch Garver,239,816,39,0.256,117,4,2.71,2.94
409,Teoscar Hernandez,372,1379,76,0.247,114,4,1.74,1.74
410,Cory Spangenberg,419,1380,29,0.256,91,4,1.55,1.74
411,Vernon Wells,495,1895,78,0.242,95,3.9,1.28,1.23
412,Michael A. Taylor,569,1788,53,0.238,79,3.9,1.11,1.31
413,Alex Verdugo,206,684,20,0.295,117,3.9,3.07,3.42
414,Ryan Raburn,681,2065,69,0.248,98,3.8,0.9,1.1
415,Casey Blake,209,810,21,0.249,101,3.8,2.95,2.81
416,Hunter Renfroe,428,1576,97,0.229,103,3.8,1.44,1.45
417,Giovanny Urshela,336,1124,35,0.271,99,3.8,1.83,2.03
418,Yorvit Torrealba,333,1196,18,0.259,81,3.8,1.85,1.91
419,Chris Johnson,828,2972,63,0.276,97,3.8,0.74,0.77
